xxxxxx      
SV=25.0,P=10.0,I=60,D=0,MR=0.0,Hys=0.0,H/C=0,Typ=0,
DateTime,PV(ch1),SV,MV,ch2,ch3,ch4,cjt,Stop/Run,Auto/Manual,P_MV,I_MV,D_MV,En
2022/02/12 10:59:30.550,23.6,25.0,69.6,32.8,22.7,21.5,19.2,Run,Auto,13.3,56.3,0.0,1.3
2022/02/12 10:59:32.549,23.6,25.0,70.2,32.9,22.8,21.7,19.2,Run,Auto,13.4,56.7,0.0,1.3
2022/02/12 10:59:34.564,23.7,25.0,69.7,33.0,22.8,21.7,19.2,Run,Auto,12.5,57.2,0.0,1.2
2022/02/12 10:59:36.554,23.7,25.0,70.6,33.2,23.0,21.8,19.2,Run,Auto,12.9,57.6,0.0,1.2
2022/02/12 10:59:38.554,23.7,25.0,70.2,33.3,23.0,21.8,19.2,Run,Auto,12.1,58.0,0.0,1.2
2022/02/12 10:59:40.762,23.9,25.0,69.3,33.3,23.1,21.9,19.2,Run,Auto,10.8,58.4,0.0,1.0
2022/02/12 10:59:42.558,24.0,25.0,68.4,33.4,23.1,21.9,19.2,Run,Auto,9.6,58.7,0.0,0.9
2022/02/12 10:59:44.767,24.0,25.0,68.8,33.5,23.3,22.0,19.2,Run,Auto,9.6,59.1,0.0,0.9
2022/02/12 10:59:46.766,24.2,25.0,67.2,33.5,23.3,22.1,19.2,Run,Auto,7.8,59.4,0.0,0.7
2022/02/12 10:59:48.766,24.3,25.0,65.7,33.4,23.3,22.1,19.2,Run,Auto,6.0,59.6,0.0,0.6
2022/02/12 10:59:50.771,24.5,25.0,64.1,33.5,23.4,22.1,19.2,Run,Auto,4.2,59.8,0.0,0.4
2022/02/12 10:59:52.771,24.5,25.0,64.1,33.4,23.4,22.1,19.2,Run,Auto,4.1,59.9,0.0,0.4
2022/02/12 10:59:54.776,24.6,25.0,64.0,33.5,23.6,22.2,19.2,Run,Auto,3.9,60.1,0.0,0.3
2022/02/12 10:59:56.776,24.6,25.0,63.3,33.3,23.6,22.2,19.2,Run,Auto,3.1,60.2,0.0,0.3
2022/02/12 10:59:58.775,24.8,25.0,61.9,33.3,23.7,22.3,19.2,Run,Auto,1.6,60.3,0.0,0.1
2022/02/12 11:00:00.781,24.7,25.0,62.5,33.3,23.7,22.3,19.2,Run,Auto,2.1,60.3,0.0,0.2
2022/02/12 11:00:02.780,24.8,25.0,62.1,33.2,23.9,22.4,19.2,Run,Auto,1.6,60.4,0.0,0.1
2022/02/12 11:00:04.785,24.9,25.0,60.5,33.0,23.9,22.5,19.2,Run,Auto,0.0,60.4,0.0,0.0
2022/02/12 11:00:06.785,25.0,25.0,59.8,33.2,23.9,22.5,19.2,Run,Auto,-0.6,60.4,0.0,0.0
2022/02/12 11:00:08.784,25.2,25.0,58.3,33.1,24.0,22.5,19.2,Run,Auto,-2.0,60.4,0.0,-0.2
2022/02/12 11:00:10.789,25.1,25.0,58.7,33.0,24.0,22.5,19.2,Run,Auto,-1.6,60.3,0.0,-0.1
2022/02/12 11:00:12.788,25.1,25.0,58.6,32.9,24.0,22.6,19.2,Run,Auto,-1.6,60.2,0.0,-0.1
2022/02/12 11:00:14.794,25.1,25.0,58.4,32.9,24.1,22.7,19.2,Run,Auto,-1.8,60.2,0.0,-0.1
2022/02/12 11:00:16.793,25.1,25.0,58.4,32.8,24.1,22.7,19.2,Run,Auto,-1.7,60.1,0.0,-0.1
2022/02/12 11:00:18.793,25.2,25.0,57.6,32.7,24.2,22.7,19.2,Run,Auto,-2.4,60.1,0.0,-0.2
2022/02/12 11:00:20.798,25.2,25.0,57.7,32.6,24.3,22.7,19.2,Run,Auto,-2.2,60.0,0.0,-0.2
2022/02/12 11:00:22.798,25.3,25.0,56.9,32.6,24.2,22.8,19.2,Run,Auto,-3.0,59.9,0.0,-0.3
2022/02/12 11:00:24.803,25.2,25.0,57.0,32.6,24.2,22.8,19.2,Run,Auto,-2.7,59.8,0.0,-0.2
2022/02/12 11:00:26.802,25.3,25.0,56.2,32.6,24.3,22.7,19.2,Run,Auto,-3.5,59.7,0.0,-0.3
2022/02/12 11:00:28.802,25.3,25.0,56.5,32.5,24.4,23.0,19.2,Run,Auto,-3.0,59.6,0.0,-0.3
2022/02/12 11:00:30.807,25.3,25.0,56.2,32.4,24.4,23.0,19.2,Run,Auto,-3.3,59.5,0.0,-0.3
